,train,val,test
0,TEST-SLIDE_1801,TEST-SLIDE_1928,TEST-SLIDE_1906
1,TEST-SLIDE_1802,TEST-SLIDE_2004,TEST-SLIDE_1998
2,TEST-SLIDE_1803,TEST-SLIDE_1819,TEST-SLIDE_1941
3,TEST-SLIDE_1804,TEST-SLIDE_1976,TEST-SLIDE_1873
4,TEST-SLIDE_1810,TEST-SLIDE_1997,TEST-SLIDE_1914
5,TEST-SLIDE_1811,TEST-SLIDE_1832,TEST-SLIDE_1917
6,TEST-SLIDE_1814,TEST-SLIDE_1829,TEST-SLIDE_1957
7,TEST-SLIDE_1815,TEST-SLIDE_1841,TEST-SLIDE_1910
8,TEST-SLIDE_1816,TEST-SLIDE_1896,TEST-SLIDE_1934
9,TEST-SLIDE_1817,TEST-SLIDE_1839,TEST-SLIDE_1991
10,TEST-SLIDE_1818,TEST-SLIDE_1946,TEST-SLIDE_1837
11,TEST-SLIDE_1820,TEST-SLIDE_1845,TEST-SLIDE_1806
12,TEST-SLIDE_1821,TEST-SLIDE_1852,TEST-SLIDE_1960
13,TEST-SLIDE_1822,TEST-SLIDE_1870,TEST-SLIDE_1933
14,TEST-SLIDE_1823,TEST-SLIDE_1805,TEST-SLIDE_1808
15,TEST-SLIDE_1824,TEST-SLIDE_1894,TEST-SLIDE_1981
16,TEST-SLIDE_1825,TEST-SLIDE_1973,TEST-SLIDE_1974
17,TEST-SLIDE_1826,TEST-SLIDE_1951,TEST-SLIDE_1905
18,TEST-SLIDE_1827,TEST-SLIDE_1812,TEST-SLIDE_1983
19,TEST-SLIDE_1828,TEST-SLIDE_920,TEST-SLIDE_1986
20,TEST-SLIDE_1830,TEST-SLIDE_859,TEST-SLIDE_1859
21,TEST-SLIDE_1831,TEST-SLIDE_872,TEST-SLIDE_2002
22,TEST-SLIDE_1833,TEST-SLIDE_778,TEST-SLIDE_1944
23,TEST-SLIDE_1835,TEST-SLIDE_781,TEST-SLIDE_1982
24,TEST-SLIDE_1836,TEST-SLIDE_940,TEST-SLIDE_1813
25,TEST-SLIDE_1838,TEST-SLIDE_811,TEST-SLIDE_1865
26,TEST-SLIDE_1840,TEST-SLIDE_793,TEST-SLIDE_1940
27,TEST-SLIDE_1842,TEST-SLIDE_766,TEST-SLIDE_1932
28,TEST-SLIDE_1843,TEST-SLIDE_871,TEST-SLIDE_1856
29,TEST-SLIDE_1844,TEST-SLIDE_805,TEST-SLIDE_1807
30,TEST-SLIDE_1846,TEST-SLIDE_771,TEST-SLIDE_1849
31,TEST-SLIDE_1847,TEST-SLIDE_968,TEST-SLIDE_1809
32,TEST-SLIDE_1848,TEST-SLIDE_908,TEST-SLIDE_1952
33,TEST-SLIDE_1850,TEST-SLIDE_949,TEST-SLIDE_1959
34,TEST-SLIDE_1851,TEST-SLIDE_847,TEST-SLIDE_1883
35,TEST-SLIDE_1853,TEST-SLIDE_975,TEST-SLIDE_1857
36,TEST-SLIDE_1854,TEST-SLIDE_817,TEST-SLIDE_1929
37,TEST-SLIDE_1855,TEST-SLIDE_823,TEST-SLIDE_1834
38,TEST-SLIDE_1858,TEST-SLIDE_945,TEST-SLIDE_767
39,TEST-SLIDE_1860,TEST-SLIDE_877,TEST-SLIDE_770
40,TEST-SLIDE_1861,TEST-SLIDE_259,TEST-SLIDE_960
41,TEST-SLIDE_1862,TEST-SLIDE_2007,TEST-SLIDE_983
42,TEST-SLIDE_1863,TEST-SLIDE_250,TEST-SLIDE_777
43,TEST-SLIDE_1864,TEST-SLIDE_268,TEST-SLIDE_832
44,TEST-SLIDE_1866,TEST-SLIDE_2019,TEST-SLIDE_862
45,TEST-SLIDE_1867,TEST-SLIDE_247,TEST-SLIDE_978
46,TEST-SLIDE_1868,TEST-SLIDE_2036,TEST-SLIDE_948
47,TEST-SLIDE_1869,TEST-SLIDE_289,TEST-SLIDE_850
48,TEST-SLIDE_1871,TEST-SLIDE_297,TEST-SLIDE_784
49,TEST-SLIDE_1872,TEST-SLIDE_2040,TEST-SLIDE_964
50,TEST-SLIDE_1874,TEST-SLIDE_266,TEST-SLIDE_876
51,TEST-SLIDE_1875,TEST-SLIDE_2028,TEST-SLIDE_936
52,TEST-SLIDE_1876,TEST-SLIDE_1361,TEST-SLIDE_943
53,TEST-SLIDE_1877,TEST-SLIDE_1358,TEST-SLIDE_921
54,TEST-SLIDE_1878,TEST-SLIDE_636,TEST-SLIDE_760
55,TEST-SLIDE_1879,TEST-SLIDE_655,TEST-SLIDE_870
56,TEST-SLIDE_1880,TEST-SLIDE_660,TEST-SLIDE_867
57,TEST-SLIDE_1881,TEST-SLIDE_202,TEST-SLIDE_830
58,TEST-SLIDE_1882,TEST-SLIDE_670,TEST-SLIDE_965
59,TEST-SLIDE_1884,TEST-SLIDE_698,TEST-SLIDE_821
60,TEST-SLIDE_1885,TEST-SLIDE_732,TEST-SLIDE_797
61,TEST-SLIDE_1886,TEST-SLIDE_695,TEST-SLIDE_818
62,TEST-SLIDE_1887,TEST-SLIDE_714,TEST-SLIDE_952
63,TEST-SLIDE_1888,TEST-SLIDE_723,TEST-SLIDE_813
64,TEST-SLIDE_1889,TEST-SLIDE_707,TEST-SLIDE_889
65,TEST-SLIDE_1890,TEST-SLIDE_686,TEST-SLIDE_919
66,TEST-SLIDE_1891,TEST-SLIDE_1672,TEST-SLIDE_806
67,TEST-SLIDE_1892,TEST-SLIDE_1653,TEST-SLIDE_860
68,TEST-SLIDE_1893,TEST-SLIDE_1621,TEST-SLIDE_842
69,TEST-SLIDE_1895,TEST-SLIDE_1643,TEST-SLIDE_894
70,TEST-SLIDE_1897,TEST-SLIDE_1600,TEST-SLIDE_780
71,TEST-SLIDE_1898,TEST-SLIDE_1634,TEST-SLIDE_844
72,TEST-SLIDE_1899,TEST-SLIDE_1609,TEST-SLIDE_967
73,TEST-SLIDE_1900,TEST-SLIDE_1662,TEST-SLIDE_812
74,TEST-SLIDE_1901,TEST-SLIDE_1060,TEST-SLIDE_892
75,TEST-SLIDE_1902,TEST-SLIDE_1085,TEST-SLIDE_971
76,TEST-SLIDE_1903,TEST-SLIDE_1172,TEST-SLIDE_849
77,TEST-SLIDE_1904,TEST-SLIDE_1131,TEST-SLIDE_764
78,TEST-SLIDE_1907,TEST-SLIDE_1023,TEST-SLIDE_891
79,TEST-SLIDE_1908,TEST-SLIDE_1013,TEST-SLIDE_957
80,TEST-SLIDE_1909,TEST-SLIDE_1110,TEST-SLIDE_293
81,TEST-SLIDE_1911,TEST-SLIDE_1092,TEST-SLIDE_309
82,TEST-SLIDE_1912,TEST-SLIDE_1029,TEST-SLIDE_2011
83,TEST-SLIDE_1913,TEST-SLIDE_1146,TEST-SLIDE_2035
84,TEST-SLIDE_1915,TEST-SLIDE_1144,TEST-SLIDE_280
85,TEST-SLIDE_1916,TEST-SLIDE_1112,TEST-SLIDE_2033
86,TEST-SLIDE_1918,TEST-SLIDE_1051,TEST-SLIDE_313
87,TEST-SLIDE_1919,TEST-SLIDE_1126,TEST-SLIDE_310
88,TEST-SLIDE_1920,TEST-SLIDE_1089,TEST-SLIDE_271
89,TEST-SLIDE_1921,TEST-SLIDE_1046,TEST-SLIDE_231
90,TEST-SLIDE_1922,TEST-SLIDE_1032,TEST-SLIDE_2005
91,TEST-SLIDE_1923,TEST-SLIDE_122,TEST-SLIDE_2020
92,TEST-SLIDE_1924,TEST-SLIDE_121,TEST-SLIDE_246
93,TEST-SLIDE_1925,TEST-SLIDE_111,TEST-SLIDE_277
94,TEST-SLIDE_1926,TEST-SLIDE_177,TEST-SLIDE_2022
95,TEST-SLIDE_1927,TEST-SLIDE_140,TEST-SLIDE_283
96,TEST-SLIDE_1930,TEST-SLIDE_173,TEST-SLIDE_258
97,TEST-SLIDE_1931,TEST-SLIDE_163,TEST-SLIDE_298
98,TEST-SLIDE_1935,TEST-SLIDE_424,TEST-SLIDE_314
99,TEST-SLIDE_1936,TEST-SLIDE_472,TEST-SLIDE_269
100,TEST-SLIDE_1937,TEST-SLIDE_412,TEST-SLIDE_260
101,TEST-SLIDE_1938,TEST-SLIDE_384,TEST-SLIDE_244
102,TEST-SLIDE_1939,TEST-SLIDE_466,TEST-SLIDE_248
103,TEST-SLIDE_1942,TEST-SLIDE_435,TEST-SLIDE_2025
104,TEST-SLIDE_1943,TEST-SLIDE_372,TEST-SLIDE_1357
105,TEST-SLIDE_1945,TEST-SLIDE_433,TEST-SLIDE_1350
106,TEST-SLIDE_1947,TEST-SLIDE_405,TEST-SLIDE_1342
107,TEST-SLIDE_1948,TEST-SLIDE_461,TEST-SLIDE_1349
108,TEST-SLIDE_1949,TEST-SLIDE_1568,TEST-SLIDE_637
109,TEST-SLIDE_1950,TEST-SLIDE_1512,TEST-SLIDE_634
110,TEST-SLIDE_1953,TEST-SLIDE_1579,TEST-SLIDE_650
111,TEST-SLIDE_1954,TEST-SLIDE_1510,TEST-SLIDE_627
112,TEST-SLIDE_1955,TEST-SLIDE_1552,TEST-SLIDE_666
113,TEST-SLIDE_1956,TEST-SLIDE_1503,TEST-SLIDE_628
114,TEST-SLIDE_1958,TEST-SLIDE_1548,TEST-SLIDE_667
115,TEST-SLIDE_1961,TEST-SLIDE_1523,TEST-SLIDE_203
116,TEST-SLIDE_1962,TEST-SLIDE_1530,TEST-SLIDE_217
117,TEST-SLIDE_1963,TEST-SLIDE_1529,TEST-SLIDE_741
118,TEST-SLIDE_1964,TEST-SLIDE_81,TEST-SLIDE_699
119,TEST-SLIDE_1965,TEST-SLIDE_85,TEST-SLIDE_712
120,TEST-SLIDE_1966,TEST-SLIDE_87,TEST-SLIDE_728
121,TEST-SLIDE_1967,TEST-SLIDE_78,TEST-SLIDE_734
122,TEST-SLIDE_1968,TEST-SLIDE_23,TEST-SLIDE_672
123,TEST-SLIDE_1969,TEST-SLIDE_37,TEST-SLIDE_693
124,TEST-SLIDE_1970,TEST-SLIDE_4,TEST-SLIDE_717
125,TEST-SLIDE_1971,TEST-SLIDE_64,TEST-SLIDE_743
126,TEST-SLIDE_1972,TEST-SLIDE_34,TEST-SLIDE_694
127,TEST-SLIDE_1975,TEST-SLIDE_615,TEST-SLIDE_696
128,TEST-SLIDE_1977,TEST-SLIDE_503,TEST-SLIDE_674
129,TEST-SLIDE_1978,TEST-SLIDE_1280,TEST-SLIDE_756
130,TEST-SLIDE_1979,TEST-SLIDE_625,TEST-SLIDE_749
131,TEST-SLIDE_1980,TEST-SLIDE_1216,TEST-SLIDE_727
132,TEST-SLIDE_1984,TEST-SLIDE_581,TEST-SLIDE_724
133,TEST-SLIDE_1985,TEST-SLIDE_490,TEST-SLIDE_738
134,TEST-SLIDE_1987,TEST-SLIDE_606,TEST-SLIDE_1664
135,TEST-SLIDE_1988,TEST-SLIDE_1310,TEST-SLIDE_1627
136,TEST-SLIDE_1989,TEST-SLIDE_582,TEST-SLIDE_1659
137,TEST-SLIDE_1990,TEST-SLIDE_1298,TEST-SLIDE_1656
138,TEST-SLIDE_1992,TEST-SLIDE_1219,TEST-SLIDE_1606
139,TEST-SLIDE_1993,TEST-SLIDE_491,TEST-SLIDE_1658
140,TEST-SLIDE_1994,TEST-SLIDE_1262,TEST-SLIDE_1611
141,TEST-SLIDE_1995,TEST-SLIDE_1203,TEST-SLIDE_1604
142,TEST-SLIDE_1996,TEST-SLIDE_1247,TEST-SLIDE_1613
143,TEST-SLIDE_1999,TEST-SLIDE_1222,TEST-SLIDE_1655
144,TEST-SLIDE_2000,TEST-SLIDE_357,TEST-SLIDE_1629
145,TEST-SLIDE_2001,TEST-SLIDE_332,TEST-SLIDE_1638
146,TEST-SLIDE_2003,TEST-SLIDE_1702,TEST-SLIDE_1602
147,TEST-SLIDE_758,TEST-SLIDE_1784,TEST-SLIDE_1632
148,TEST-SLIDE_759,TEST-SLIDE_1777,TEST-SLIDE_1614
149,TEST-SLIDE_761,TEST-SLIDE_1708,TEST-SLIDE_1666
150,TEST-SLIDE_762,TEST-SLIDE_1701,TEST-SLIDE_998
151,TEST-SLIDE_763,TEST-SLIDE_1780,TEST-SLIDE_1054
152,TEST-SLIDE_765,TEST-SLIDE_1769,TEST-SLIDE_997
153,TEST-SLIDE_768,TEST-SLIDE_1723,TEST-SLIDE_1042
154,TEST-SLIDE_769,TEST-SLIDE_1764,TEST-SLIDE_1001
155,TEST-SLIDE_772,TEST-SLIDE_1734,TEST-SLIDE_1027
156,TEST-SLIDE_773,TEST-SLIDE_1413,TEST-SLIDE_1040
157,TEST-SLIDE_774,TEST-SLIDE_1401,TEST-SLIDE_986
158,TEST-SLIDE_775,TEST-SLIDE_1382,TEST-SLIDE_1071
159,TEST-SLIDE_776,TEST-SLIDE_1415,TEST-SLIDE_1002
160,TEST-SLIDE_779,TEST-SLIDE_1409,TEST-SLIDE_1065
161,TEST-SLIDE_782,TEST-SLIDE_1486,TEST-SLIDE_1169
162,TEST-SLIDE_783,TEST-SLIDE_1432,TEST-SLIDE_1121
163,TEST-SLIDE_785,TEST-SLIDE_1484,TEST-SLIDE_1113
164,TEST-SLIDE_786,TEST-SLIDE_1431,TEST-SLIDE_1053
165,TEST-SLIDE_787,TEST-SLIDE_1460,TEST-SLIDE_1055
166,TEST-SLIDE_788,TEST-SLIDE_1489,TEST-SLIDE_1007
167,TEST-SLIDE_789,TEST-SLIDE_1468,TEST-SLIDE_993
168,TEST-SLIDE_790,,TEST-SLIDE_1083
