,train,val,test
0,BL-12-M36379,TCGA-05-4433-01Z-00-DX1.5843D3CC-CB24-4A0A-BB65-78A5DAA11D84,TCGA-69-7974-01Z-00-DX1.e4282067-fc3d-4fee-bae7-fe99000979d4
1,BL-13-A24258,BL-18-M09263,TCGA-86-8673-01Z-00-DX1.21191041-c10e-4166-ad00-1243656feaa7
2,BL-13-A27875,BL-19-K52909,BL-14-X00380
3,BL-13-A29917,TCGA-MP-A4T8-01Z-00-DX1.3ECB340F-66C7-4F64-8E00-463BF82AAD83,BL-18-J44791
4,BL-13-A32814,BL-16-N19147,BL-19-M60694
5,BL-13-A33185,BL-18-J53976,TCGA-MP-A4T6-01Z-00-DX1.085C4F5A-DB1B-434A-9D62-E2187D133B0A
6,BL-13-A36427,BL-15-W27263,BL-18-R00738
7,BL-13-A38307,BL-16-A00068,BL-18-R15484
8,BL-13-A38942,BL-16-F34835,TCGA-44-6148-01Z-00-DX1.94c29c83-1085-458f-a0c9-3ffa8592cb98
9,BL-13-A39799,TCGA-05-5420-01Z-00-DX1.8C253A99-44FD-48B6-AF31-D808CCB7DB1E,BL-15-A28920
10,BL-13-D25028,BL-18-G28371,BL-17-N31860
11,BL-13-D30634,BL-19-T46644,BL-17-T31989
12,BL-13-D32806,BL-15-K47244,BL-16-A36852
13,BL-13-D33194,BL-19-M34450,TCGA-56-A4ZK-01Z-00-DX1.D6B1AC68-BF70-4C49-A5A1-233D6DA4AE27
14,BL-13-D43223,BL-15-F47786,TCGA-97-A4M6-01Z-00-DX1.01D83621-3D8E-4339-9F9B-CBD3083D5AE0
15,BL-13-D43630,TCGA-64-1680-01Z-00-DX1.9CB14F20-E7B0-49A1-A327-404B3160FD65,BL-16-W41285
16,BL-13-D43694,TCGA-50-6593-01Z-00-DX1.a63e298c-cbe7-44e8-8d8e-34ebb93530ca,BL-19-K48701
17,BL-13-E23110,BL-17-R49416,BL-16-A45517
18,BL-13-E24244,BL-19-F36959,BL-14-G11358
19,BL-13-E27292,BL-19-D12882,BL-15-F40507
20,BL-13-E28458,BL-19-J59904,BL-18-N34090
21,BL-13-E30643,BL-16-T11319,BL-15-F45111
22,BL-13-E33787,BL-17-T03394,BL-14-A38416
23,BL-13-E34597,TCGA-55-8207-01Z-00-DX1.2dafc442-f927-4b0d-b197-cc8c5f86d0fc,BL-16-W15576
24,BL-13-E36087,TCGA-98-8020-01Z-00-DX1.fcf8e956-c413-40ae-9f09-610403e70fb3,TCGA-97-8175-01Z-00-DX1.f7148cec-5e4b-46ac-b167-d41b36eb3ee5
25,BL-13-E36430,BL-19-T56023,BL-13-T38444
26,BL-13-E38097,TCGA-50-5055-01Z-00-DX1.0c9d846b-89b4-4b18-a2eb-0f8d8e0a33c7,BL-19-T04567
27,BL-13-E38325,TCGA-50-5055-01Z-00-DX2.446EC3BB-2ED7-4253-8A39-AC68331F08E7,BL-19-T60834
28,BL-13-E41887,TCGA-37-4132-01Z-00-DX1.5e5a564d-6561-48e7-a3a2-81a523392d8b,BL-16-K42572
29,BL-13-E42388,BL-16-K42783,TCGA-56-A4BX-01Z-00-DX1.60E64193-473C-4220-9E38-0F5D952BD157
30,BL-13-F20412,BL-17-M22600,BL-17-N03393
31,BL-13-F22503,BL-14-W38903,BL-17-X54220
32,BL-13-F25419,BL-16-X11256,BL-18-F24212
33,BL-13-F25730,BL-15-E29145,BL-19-M48710
34,BL-13-F26783,BL-15-W42278,BL-18-E39111
35,BL-13-F30179,BL-14-A00681,BL-15-E34913
36,BL-13-F33943,BL-17-F33938,BL-19-F00390
37,BL-13-F36486,BL-17-M15585,BL-15-X38987
38,BL-13-F37330,BL-15-T12721,BL-19-M50469
39,BL-13-F39892,TCGA-66-2791-01Z-00-DX1.7ae2b6ab-5284-4772-bc1e-fd608f70e583,TCGA-78-7535-01Z-00-DX1.c4ca06f3-22d1-4e39-85c8-98d1fa2b0e60
40,BL-13-F39924,BL-18-G27284,BL-16-N13281
41,BL-13-F40274,BL-17-W08947,BL-16-R01332
42,BL-13-F41359,BL-16-G15564,BL-17-R23281
43,BL-13-F42821,BL-17-R28501,BL-13-F33195
44,BL-13-G25526,BL-13-N24232,BL-14-X02471
45,BL-13-G27877,BL-14-M16573,BL-16-M18848
46,BL-13-G28427,BL-14-A43046,BL-16-J10888
47,BL-13-G30173,BL-16-K31456,BL-19-T42705
48,BL-13-G31648,BL-19-W60728,BL-15-R13537
49,BL-13-G32070,BL-16-E07301,BL-18-R46916
50,BL-13-G33317,BL-17-F12388,BL-18-N33881
51,BL-13-G34875,BL-16-D41280,TCGA-56-5898-01Z-00-DX1.d539fc8b-ae31-4820-8c2e-5cf587958eb3
52,BL-13-G38326,BL-17-N42471,TCGA-21-5784-01Z-00-DX1.E50E7F4B-BE37-4171-94A7-E824CFF4B3BB
53,BL-13-G42553,TCGA-44-5643-01Z-00-DX1.83fb7631-0ecb-4473-bfb2-c8daa2f87d35,BL-19-A35670
54,BL-13-J24237,BL-19-J17243,TCGA-99-8032-01Z-00-DX1.7380b78f-ea25-43e0-ac90-194b5c6b1432
55,BL-13-J24936,TCGA-56-7822-01Z-00-DX1.c387e241-ff4c-44ef-af45-12a85066f0ce,BL-19-K02734
56,BL-13-J29928,TCGA-18-5592-01Z-00-DX1.41BD6380-A3A0-4ED1-8752-42BBC3B4680C,BL-18-N11001
57,BL-13-J30994,TCGA-MP-A4T9-01Z-00-DX1.F7B341C4-EBCD-455F-BE90-3B77AC6B76EC,TCGA-77-6843-01Z-00-DX1.5ced4995-81a1-4dfd-82b2-0cabf4538bc5
58,BL-13-J33179,TCGA-52-7809-01Z-00-DX1.91f184ce-e4e1-42da-bdbc-36d6781bbf31,BL-17-W08444
59,BL-13-J34332,BL-13-D35481,BL-19-A31859
60,BL-13-J39047,BL-16-F48997,BL-18-A22484
61,BL-13-J40650,BL-19-G49152,BL-15-F16030
62,BL-13-J42138,BL-13-M37477,BL-16-W37335
63,BL-13-J43468,BL-16-W43116,BL-16-E17963
64,BL-13-K24246,BL-19-G50444,BL-16-E30627
65,BL-13-K26501,BL-16-K00836,BL-14-E46939
66,BL-13-K30174,BL-17-J46400,BL-13-F43111
67,BL-13-K34682,BL-15-D39783,TCGA-55-8507-01Z-00-DX1.3C6198CF-3E13-4C4C-B851-5BDFF8552621
68,BL-13-K37144,BL-14-R36029,BL-18-R02554
69,BL-13-K37289,BL-16-N06771,BL-16-A17847
70,BL-13-K39934,BL-17-A38304,TCGA-60-2712-01Z-00-DX1.97003dfc-4b37-4491-86e8-0801e6825aae
71,BL-13-K41322,TCGA-93-8067-01Z-00-DX1.325d0cd5-9bb5-4f51-a197-75d3c3d19aaf,BL-16-N29419
72,BL-13-M27043,BL-17-D17982,TCGA-99-8028-01Z-00-DX1.23de89b1-67f8-41fb-980a-010ea190d687
73,BL-13-M33523,BL-15-K32370,BL-19-R55805
74,BL-13-M36488,BL-15-A47241,TCGA-86-8280-01Z-00-DX1.52627b97-1cfa-4382-819b-949b58c0f995
75,BL-13-N14934,BL-14-W23735,BL-17-J39449
76,BL-13-N28463,BL-13-A33364,BL-14-W29179
